county,foodinsecurityrate,childfoodinsecurityrate, costpermeal 
Anderson,0.182,0.234,2.75
Andrews,0.084,0.184,2.94
Angelina,0.189,0.253,2.94
Aransas,0.165,0.263,2.95
Archer,0.140,0.201,2.83
Armstrong,0.131,0.203,3.06
Atascosa,0.088,0.212,2.78
Austin,0.147,0.228,3.12
Bailey,0.112,0.243,2.98
Bandera,0.145,0.255,3.4
Bastrop,0.125,0.203,2.78
Baylor,0.162,0.184,2.81
Bee,0.139,0.254,2.59
Bell,0.187,0.227,2.7
Bexar,0.114,0.210,2.86
Blanco,0.131,0.205,3.03
Borden,0.129,0.238,2.88
Bosque,0.155,0.247,2.76
Bowie,0.215,0.256,2.78
Brazoria,0.140,0.203,2.86
Brazos,0.203,0.223,2.89
Brewster,0.123,0.180,2.99
Briscoe,0.134,0.213,2.89
Brooks,0.147,0.348,2.55
Brown,0.158,0.238,2.55
Burleson,0.161,0.245,2.93
Burnet,0.135,0.214,2.88
Caldwell,0.125,0.214,2.56
Calhoun,0.125,0.236,2.67
Callahan,0.164,0.223,2.82
Cameron,0.114,0.282,2.37
Camp,0.183,0.248,2.89
Carson,0.127,0.193,3.04
Cass,0.210,0.281,2.87
Castro,0.095,0.208,3.14
Chambers,0.151,0.235,3.09
Cherokee,0.177,0.252,2.91
Childress,0.181,0.221,3.03
Clay,0.161,0.239,2.8
Cochran,0.131,0.251,3
Coke,0.156,0.225,2.86
Coleman,0.178,0.263,2.81
Collin,0.142,0.187,3.15
Collingsworth,0.133,0.227,3.02
Colorado,0.136,0.198,2.85
Comal,0.118,0.199,3.24
Comanche,0.146,0.243,2.73
Concho,0.091,0.207,2.79
Cooke,0.156,0.239,3.1
Coryell,0.183,0.233,2.93
Cottle,0.181,0.262,3.05
Crane,0.084,0.199,2.91
Crockett,0.099,0.255,2.62
Crosby,0.127,0.235,2.99
Culberson,0.106,0.274,2.9
Dallam,0.124,0.214,2.93
Dallas,0.172,0.229,2.88
Dawson,0.121,0.215,2.99
Deaf Smith,0.087,0.210,3.03
Delta,0.193,0.286,2.73
Denton,0.143,0.187,3.02
DeWitt,0.143,0.220,3.62
Dickens,0.154,0.232,3
Dimmit,0.104,0.268,2.37
Donley,0.169,0.245,3.1
Duval,0.104,0.271,2.61
Eastland,0.170,0.245,2.76
Ector,0.098,0.193,2.81
Edwards,0.062,0.184,2.55
Ellis,0.136,0.201,2.87
El Paso,0.096,0.229,2.84
Erath,0.177,0.226,2.88
Falls,0.204,0.270,2.72
Fannin,0.168,0.228,2.98
Fayette,0.130,0.187,2.85
Fisher,0.145,0.230,2.91
Floyd,0.115,0.238,2.99
Foard,0.119,0.180,2.91
Fort Bend,0.139,0.193,2.96
Franklin,0.170,0.243,2.78
Freestone,0.194,0.263,2.77
Frio,0.088,0.215,2.85
Gaines,0.104,0.188,2.93
Galveston,0.166,0.229,3.06
Garza,0.105,0.228,3
Gillespie,0.130,0.217,2.84
Glasscock,0.102,0.167,2.91
Goliad,0.133,0.253,2.7
Gonzales,0.123,0.216,3.13
Gray,0.151,0.232,3.13
Grayson,0.170,0.228,2.71
Gregg,0.202,0.246,2.76
Grimes,0.176,0.261,3.13
Guadalupe,0.115,0.194,3.09
Hale,0.131,0.234,2.86
Hall,0.184,0.258,3.04
Hamilton,0.164,0.242,2.75
Hansford,0.117,0.222,3
Hardeman,0.157,0.214,2.93
Hardin,0.174,0.239,2.98
Harris,0.163,0.232,2.97
Harrison,0.198,0.248,2.73
Hartley,0.133,0.190,3.01
Haskell,0.156,0.269,2.79
Hays,0.132,0.191,3.01
Hemphill,0.106,0.190,3.1
Henderson,0.178,0.259,3
Hidalgo,0.114,0.284,2.45
Hill,0.165,0.242,2.93
Hockley,0.119,0.203,2.88
Hood,0.153,0.233,2.79
Hopkins,0.174,0.248,2.92
Houston,0.226,0.290,2.63
Howard,0.131,0.207,2.82
Hudspeth,0.134,0.298,2.9
Hunt,0.179,0.245,2.71
Hutchinson,0.159,0.250,3.13
Irion,0.134,0.209,2.79
Jack,0.159,0.247,3.04
Jackson,0.140,0.211,2.66
Jasper,0.212,0.269,2.89
Jeff Davis,0.098,0.208,3
Jefferson,0.228,0.272,2.97
Jim Hogg,0.089,0.262,2.46
Jim Wells,0.107,0.259,2.56
Johnson,0.140,0.212,2.75
Jones,0.168,0.235,2.9
Karnes,0.119,0.234,2.94
Kaufman,0.148,0.208,2.85
Kendall,0.113,0.181,3.14
Kenedy,0.116,0.234,2.56
Kent,0.149,0.266,2.87
Kerr,0.140,0.229,2.9
Kimble,0.161,0.267,2.88
King,0.155,0.195,2.78
Kinney,0.087,0.184,2.29
Kleberg,0.130,0.237,2.77
Knox,0.132,0.223,2.75
Lamar,0.202,0.256,2.57
Lamb,0.130,0.239,2.98
Lampasas,0.145,0.212,2.7
La Salle,0.050,0.163,2.49
Lavaca,0.147,0.205,2.68
Lee,0.148,0.210,3.16
Leon,0.180,0.270,2.86
Liberty,0.178,0.254,2.93
Limestone,0.192,0.271,2.76
Lipscomb,0.120,0.197,3.12
Live Oak,0.125,0.230,2.72
Llano,0.156,0.236,2.67
