County,lifeexpectancy,frequentmentaldistressrate,diabeticrate,foodinsecurerate,limitedaccessfoodrate,uninsuredadultrate,uninsuredchildrenrate,Household Income,householdiincome_black,householdincome_hispanic,householdincome_white,free_reduced_lunch_percent,urbanization,border_status
Anderson,73.8,11,11,19,15,21,11,42412,24427,37635,48013,61,Rural,Non-Border
Andrews,76.8,10,9,9,12,22,12,63451,38359,66319,73648,42,Rural,Non-Border
Angelina,76.3,13,14,20,11,24,10,45318,28509,41673,51631,66,Rural,Non-Border
Aransas,76.9,12,14,16,20,24,13,46970,,43302,45496,56,Urban,Non-Border
Archer,77.0,10,11,15,5,20,13,58311,,34375,65504,32,Urban,Non-Border
Armstrong,72.4,10,11,14,20,17,12,55337,,150250,64737,51,Urban,Non-Border
Atascosa,78.3,11,12,9,8,23,9,48636,72827,49619,66601,63,Urban,Non-Border
Austin,79.1,11,10,16,3,22,11,61111,40096,49375,74375,54,Urban,Non-Border
Bailey,78.4,13,10,10,4,34,13,42045,,37917,54073,81,Rural,Non-Border
Bandera,80.3,11,11,15,13,20,13,55578,,58274,56284,54,Urban,Non-Border
Bastrop,77.6,11,10,13,11,25,12,62992,46866,49336,63927,66,Urban,Non-Border
Baylor,74.3,12,13,17,4,19,10,37013,,20417,37712,56,Rural,Non-Border
Bee,76.7,11,9,14,11,23,9,41392,41051,40737,48678,74,Rural,Non-Border
Bell,78.1,11,10,19,13,17,7,52164,46745,46702,60233,54,Urban,Non-Border
Bexar,79.0,11,9,11,11,20,8,54163,45533,46079,70203,63,Urban,Non-Border
Blanco,78.8,11,11,13,1,23,20,62115,,46861,61918,42,Rural,Non-Border
Borden,,9,12,14,15,15,11,59039,,86042,75750,24,Rural,Non-Border
Bosque,76.5,11,11,16,4,26,15,49139,61731,35156,51236,63,Rural,Non-Border
Bowie,75.6,12,13,23,9,19,8,49153,27745,29432,51955,59,Urban,Non-Border
Brazoria,79.0,10,11,15,7,18,9,80840,73200,63715,80549,45,Urban,Non-Border
Brazos,81.1,12,8,21,12,19,9,46083,32027,37026,52780,57,Urban,Non-Border
Brewster,79.7,11,11,12,13,20,10,44617,,37711,42802,54,Rural,Border
Briscoe,,12,12,14,48,34,23,42678,13125,31058,51458,52,Rural,Non-Border
Brooks,76.7,14,11,13,11,24,6,28106,,,,80,Rural,Border
Brown,75.0,12,12,17,14,20,9,41538,33561,36399,45705,61,Rural,Non-Border
Burleson,76.6,11,11,16,4,22,13,47409,29250,54531,57665,64,Urban,Non-Border
Burnet,79.1,11,11,15,13,23,12,59009,66563,60253,56882,61,Rural,Non-Border
Caldwell,78.0,12,10,13,8,25,11,51895,29198,44921,62380,69,Urban,Non-Border
Calhoun,78.7,11,11,13,13,22,11,55240,28563,53472,63471,62,Rural,Non-Border
Callahan,75.4,12,11,18,11,22,12,45843,23611,31806,41461,55,Urban,Non-Border
Cameron,80.8,14,9,10,14,39,13,36624,57333,33400,51618,87,Urban,Border
Camp,75.9,12,12,20,6,25,11,41932,31371,40573,48006,76,Rural,Non-Border
Carson,78.1,10,11,13,6,17,11,60668,,75750,66642,31,Urban,Non-Border
Cass,75.3,12,14,23,3,18,9,40104,24975,31908,45581,61,Rural,Non-Border
Castro,80.3,12,11,8,4,34,16,41746,90833,37247,57656,75,Rural,Non-Border
Chambers,77.1,11,10,15,5,18,10,81018,43944,59238,83568,31,Urban,Non-Border
Cherokee,75.6,12,13,19,9,27,13,47147,23609,44264,49014,64,Rural,Non-Border
Childress,75.1,12,9,19,17,20,10,40925,,31316,47923,51,Rural,Non-Border
Clay,77.2,11,11,17,17,20,12,53438,,35208,48547,47,Urban,Non-Border
Cochran,75.3,13,11,11,8,35,15,40796,,31094,45192,78,Rural,Non-Border
Coke,76.8,11,12,16,36,20,12,42314,,36429,44519,55,Rural,Non-Border
Coleman,74.5,12,12,18,8,24,11,35596,,40857,41193,62,Rural,Non-Border
Collin,82.7,10,9,15,2,13,7,95394,69186,59137,96131,23,Urban,Non-Border
Collingsworth,76.1,13,11,14,3,35,19,39809,21131,42857,52222,62,Rural,Non-Border
Colorado,77.5,11,12,15,6,22,13,49100,28859,51612,54926,64,Rural,Non-Border
